year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,CPI
2011,2011-03,1,Category B,424,423,667,61894,91.995
2011,2011-03,1,Category C,276,276,360,30001,91.995
2011,2011-03,1,Category D,325,310,490,2604,91.995
2011,2011-03,1,Category E,336,324,574,62010,91.995
2011,2011-03,2,Category A,527,472,927,43813,91.995
2011,2011-03,2,Category B,424,424,579,57002,91.995
2011,2011-03,2,Category C,281,279,371,29690,91.995
2011,2011-03,2,Category D,362,362,429,2534,91.995
2011,2011-03,2,Category E,330,330,458,59073,91.995
2011,2011-04,1,Category A,512,511,813,43212,91.995
2011,2011-04,1,Category B,425,410,542,55001,91.995
2011,2011-04,1,Category C,276,275,316,28189,91.995
2011,2011-04,1,Category D,340,335,500,2490,91.995
2011,2011-04,1,Category E,341,340,454,57100,91.995
2011,2011-04,2,Category A,565,552,964,44000,91.995
2011,2011-04,2,Category B,423,422,627,56801,91.995
2011,2011-04,2,Category C,277,269,346,23900,91.995
2011,2011-04,2,Category D,326,326,478,2502,91.995
2011,2011-04,2,Category E,330,329,484,56001,91.995
2011,2011-05,1,Category A,511,511,944,44790,91.995
2011,2011-05,1,Category B,439,439,650,56011,91.995
2011,2011-05,1,Category C,277,277,366,21889,91.995
2011,2011-05,1,Category D,330,328,481,2253,91.995
2011,2011-05,1,Category E,330,321,498,56490,91.995
2011,2011-05,2,Category A,523,521,760,46989,91.995
2011,2011-05,2,Category B,424,424,564,56300,91.995
2011,2011-05,2,Category C,283,279,381,22989,91.995
2011,2011-05,2,Category D,326,324,486,2013,91.995
2011,2011-05,2,Category E,331,322,470,56889,91.995
2011,2011-06,1,Category A,510,506,880,53390,91.995
2011,2011-06,1,Category B,424,403,759,63000,91.995
2011,2011-06,1,Category C,276,276,457,29006,91.995
2011,2011-06,1,Category D,327,327,507,2491,91.995
2011,2011-06,1,Category E,338,295,530,62000,91.995
2011,2011-06,2,Category A,512,512,715,50244,91.995
2011,2011-06,2,Category B,423,410,684,67700,91.995
2011,2011-06,2,Category C,279,270,391,31089,91.995
2011,2011-06,2,Category D,328,322,367,2290,91.995
2011,2011-06,2,Category E,339,334,468,65490,91.995
2011,2011-07,1,Category A,514,497,839,55989,91.995
2011,2011-07,1,Category B,445,444,728,68501,91.995
2011,2011-07,1,Category C,276,276,375,32590,91.995
2011,2011-07,1,Category D,325,323,369,2360,91.995
2011,2011-07,1,Category E,372,342,509,68811,91.995
2011,2011-07,2,Category A,510,501,776,56002,91.995
2011,2011-07,2,Category B,436,436,626,72501,91.995
2011,2011-07,2,Category C,284,281,393,34502,91.995
2011,2011-07,2,Category D,332,332,496,2012,91.995
2011,2011-07,2,Category E,335,328,459,74490,91.995
2011,2011-08,1,Category A,566,566,1034,48801,91.995
2011,2011-08,1,Category B,354,349,469,70890,91.995
2011,2011-08,1,Category C,241,239,383,34009,91.995
2011,2011-08,1,Category D,390,390,470,1890,91.995
2011,2011-08,1,Category E,360,360,488,70117,91.995
2011,2011-08,2,Category A,557,557,927,49301,91.995
2011,2011-08,2,Category B,353,353,527,65521,91.995
2011,2011-08,2,Category C,245,237,367,32289,91.995
2011,2011-08,2,Category D,387,382,471,1999,91.995
2011,2011-08,2,Category E,337,335,516,67000,91.995
2011,2011-09,1,Category A,548,547,794,51000,91.995
2011,2011-09,1,Category B,359,356,496,63002,91.995
2011,2011-09,1,Category C,243,236,328,31900,91.995
2011,2011-09,1,Category D,388,382,532,2339,91.995
2011,2011-09,1,Category E,330,329,466,65589,91.995
2011,2011-09,2,Category A,548,531,951,48006,91.995
2011,2011-09,2,Category B,353,353,469,64889,91.995
2011,2011-09,2,Category C,250,248,325,30089,91.995
2011,2011-09,2,Category D,392,392,492,2109,91.995
2011,2011-09,2,Category E,332,332,449,62502,91.995
2011,2011-10,1,Category A,549,549,793,50289,91.995
2011,2011-10,1,Category B,356,353,524,63600,91.995
2011,2011-10,1,Category C,249,247,348,32801,91.995
2011,2011-10,1,Category D,394,394,486,2078,91.995
2011,2011-10,1,Category E,331,331,452,65058,91.995
2011,2011-10,2,Category A,565,554,873,56112,91.995
2011,2011-10,2,Category B,353,353,633,75889,91.995
2011,2011-10,2,Category C,244,229,354,37011,91.995
2011,2011-10,2,Category D,387,380,486,2091,91.995
2011,2011-10,2,Category E,330,306,518,73600,91.995
2011,2011-11,1,Category A,548,547,766,55997,91.995
2011,2011-11,1,Category B,356,355,551,77000,91.995
2011,2011-11,1,Category C,244,244,365,40803,91.995
2011,2011-11,1,Category D,388,359,429,2012,91.995
2011,2011-11,1,Category E,330,311,507,78001,91.995
2011,2011-11,2,Category A,559,541,756,54887,91.995
2011,2011-11,2,Category B,353,338,518,77340,91.995
2011,2011-11,2,Category C,256,248,335,40189,91.995
2011,2011-11,2,Category D,394,389,469,1889,91.995
2011,2011-11,2,Category E,355,352,496,75889,91.995
2011,2011-12,1,Category A,549,543,781,52392,91.995
2011,2011-12,1,Category B,354,351,474,72350,91.995
2011,2011-12,1,Category C,242,242,334,40009,91.995
2011,2011-12,1,Category D,416,415,451,1902,91.995
2011,2011-12,1,Category E,349,335,489,74340,91.995
2011,2011-12,2,Category A,566,457,878,50001,91.995
2011,2011-12,2,Category B,368,368,464,70003,91.995
2011,2011-12,2,Category C,249,249,361,39589,91.995
2011,2011-12,2,Category D,392,386,456,1481,91.995
2011,2011-12,2,Category E,334,285,521,71000,91.995
2012,2012-01,1,Category A,554,554,901,46889,96.205
2012,2012-01,1,Category B,356,356,511,65801,96.205
2012,2012-01,1,Category C,242,239,357,38699,96.205
2012,2012-01,1,Category D,388,386,434,1682,96.205
2012,2012-01,1,Category E,344,341,530,65700,96.205
2012,2012-01,2,Category A,657,652,903,48112,96.205
2012,2012-01,2,Category B,353,351,537,67889,96.205
2012,2012-01,2,Category C,241,236,405,44001,96.205
2012,2012-01,2,Category D,393,390,517,1552,96.205
2012,2012-01,2,Category E,380,375,538,67101,96.205
2012,2012-02,1,Category A,619,571,1058,52809,96.205
2012,2012-02,1,Category B,350,346,635,73890,96.205
2012,2012-02,1,Category C,162,158,307,49801,96.205
2012,2012-02,1,Category D,412,409,512,1802,96.205
2012,2012-02,1,Category E,312,312,425,73801,96.205
2012,2012-02,2,Category A,624,607,1017,57009,96.205
2012,2012-02,2,Category B,351,348,580,78189,96.205
2012,2012-02,2,Category C,164,149,248,52004,96.205
2012,2012-02,2,Category D,413,389,509,2012,96.205
2012,2012-02,2,Category E,314,296,507,78000,96.205
2012,2012-03,1,Category A,667,649,912,56551,96.205
2012,2012-03,1,Category B,354,352,626,79304,96.205
2012,2012-03,1,Category C,163,159,247,50009,96.205
2012,2012-03,1,Category D,413,407,474,1490,96.205
2012,2012-03,1,Category E,309,309,492,76881,96.205
2012,2012-03,2,Category A,636,626,1067,56501,96.205
2012,2012-03,2,Category B,352,352,529,82003,96.205
2012,2012-03,2,Category C,174,174,241,51511,96.205
2012,2012-03,2,Category D,434,433,584,2000,96.205
2012,2012-03,2,Category E,327,327,449,80101,96.205
2012,2012-04,1,Category A,637,615,960,58501,96.205
2012,2012-04,1,Category B,352,348,483,83700,96.205
2012,2012-04,1,Category C,163,163,222,53989,96.205
2012,2012-04,1,Category D,416,416,542,1896,96.205
2012,2012-04,1,Category E,309,307,413,84590,96.205
2012,2012-04,2,Category A,629,618,1011,64201,96.205
2012,2012-04,2,Category B,349,349,200,91000,96.205
2012,2012-04,2,Category C,160,158,261,57589,96.205
2012,2012-04,2,Category D,411,411,526,1924,96.205
2012,2012-04,2,Category E,308,295,447,92010,96.205
2012,2012-05,1,Category A,641,593,822,62600,96.205
2012,2012-05,1,Category B,354,354,545,92050,96.205
2012,2012-05,1,Category C,159,159,218,58553,96.205
2012,2012-05,1,Category D,410,410,514,2021,96.205
2012,2012-05,1,Category E,311,304,457,88990,96.205
2012,2012-05,2,,630,617,945,58001,96.205
2012,2012-05,2,Category B,349,349,482,85216,96.205
2012,2012-05,2,Category C,162,161,205,57106,96.205
2012,2012-05,2,Category D,410,410,520,1890,96.205
2012,2012-05,2,Category E,321,312,544,86889,96.205
2012,2012-06,1,Category A,668,647,1004,59003,96.205
2012,2012-06,1,Category B,350,342,490,83000,96.205
2012,2012-06,1,Category C,159,155,258,54522,96.205
2012,2012-06,1,Category D,410,368,569,1912,96.205
2012,2012-06,1,Category E,315,311,526,85889,96.205
2012,2012-06,2,Category A,633,577,920,59004,96.205
2012,2012-06,2,Category B,349,346,477,85400,96.205
2012,2012-06,2,Category C,161,158,242,54502,96.205
2012,2012-06,2,Category D,410,393,517,1712,96.205
2012,2012-06,2,Category E,317,315,427,84389,96.205
2012,2012-07,1,Category A,641,613,872,59421,96.205
2012,2012-07,1,Category B,358,358,459,82289,96.205
2012,2012-07,1,Category C,164,161,234,55556,96.205
2012,2012-07,1,Category D,451,442,592,1760,96.205
2012,2012-07,1,Category E,312,295,410,86999,96.205
2012,2012-07,2,Category A,676,669,911,68656,96.205
2012,2012-07,2,Category B,353,352,549,90501,96.205
2012,2012-07,2,Category C,163,162,222,55805,96.205
2012,2012-07,2,Category D,426,425,531,1859,96.205
2012,2012-07,2,Category E,310,306,429,92700,96.205
2012,2012-08,1,Category A,421,415,724,73501,96.205
2012,2012-08,1,Category B,350,345,489,94502,96.205
2012,2012-08,1,Category C,183,180,241,57001,96.205
2012,2012-08,1,Category D,456,453,659,2081,96.205
2012,2012-08,1,Category E,260,258,354,95034,96.205
2012,2012-08,2,Category A,400,391,530,66889,96.205
2012,2012-08,2,Category B,351,351,532,88002,96.205
2012,2012-08,2,Category C,181,178,261,59334,96.205
2012,2012-08,2,Category D,448,444,535,2013,96.205
2012,2012-08,2,Category E,247,238,301,93990,96.205
2012,2012-09,1,Category A,399,391,518,68000,96.205
2012,2012-09,1,Category B,355,355,466,80191,96.205
2012,2012-09,1,Category C,183,177,269,57334,96.205
2012,2012-09,1,Category D,450,450,575,1801,96.205
2012,2012-09,1,Category E,245,245,349,87999,96.205
2012,2012-09,2,Category A,402,402,486,63000,96.205
2012,2012-09,2,Category B,351,349,523,88500,96.205
2012,2012-09,2,Category C,182,181,230,57809,96.205
2012,2012-09,2,Category D,450,434,566,1852,96.205
2012,2012-09,2,Category E,252,245,421,89990,96.205
2012,2012-10,1,Category A,401,399,506,69000,96.205
2012,2012-10,1,Category B,350,350,414,80001,96.205
2012,2012-10,1,Category C,186,185,221,56001,96.205
2012,2012-10,1,Category D,447,413,631,1912,96.205
2012,2012-10,1,Category E,243,242,312,86889,96.205
2012,2012-10,2,Category A,393,390,509,71001,96.205
2012,2012-10,2,Category B,353,353,540,85801,96.205
2012,2012-10,2,Category C,180,180,229,57889,96.205
2012,2012-10,2,Category D,463,462,605,1920,96.205
2012,2012-10,2,Category E,249,233,371,87000,96.205
2012,2012-11,1,Category A,395,393,621,77201,96.205
2012,2012-11,1,Category B,350,350,573,92400,96.205
2012,2012-11,1,Category C,181,180,268,59111,96.205
2012,2012-11,1,Category D,481,478,580,1959,96.205
2012,2012-11,1,Category E,244,241,401,92100,96.205
2012,2012-11,2,Category A,396,393,540,77291,96.205
2012,2012-11,2,Category B,351,342,487,93004,96.205
2012,2012-11,2,Category C,179,177,254,60235,96.205
2012,2012-11,2,Category D,448,441,523,1689,96.205
2012,2012-11,2,Category E,258,250,352,93990,96.205
2012,2012-12,1,Category A,395,378,482,78523,96.205
2012,2012-12,1,Category B,350,337,493,90200,96.205
2012,2012-12,1,Category C,181,168,281,63035,96.205
2012,2012-12,1,Category D,450,435,602,1612,96.205
2012,2012-12,1,Category E,246,233,329,97000,96.205
2012,2012-12,2,Category A,395,378,499,81889,96.205
2012,2012-12,2,Category B,360,360,478,93501,96.205
2012,2012-12,2,Category C,182,178,242,62201,96.205
2012,2012-12,2,Category D,454,440,522,1701,96.205
2012,2012-12,2,Category E,250,241,406,95990,96.205
2013,2013-01,1,Category A,410,409,555,92100,98.474
2013,2013-01,1,Category B,363,363,470,96210,98.474
2013,2013-01,1,Category C,193,188,244,60000,98.474
2013,2013-01,1,Category D,462,462,523,1933,98.474
2013,2013-01,1,Category E,256,256,393,96101,98.474
2013,2013-01,2,Category A,409,409,489,91010,98.474
2013,2013-01,2,Category B,351,351,452,95501,98.474
2013,2013-01,2,Category C,184,184,262,57051,98.474
2013,2013-01,2,Category D,461,461,530,1781,98.474
2013,2013-01,2,Category E,251,248,344,97889,98.474
2013,2013-02,1,Category A,335,333,418,87109,98.474
2013,2013-02,1,Category B,302,278,431,92901,98.474
2013,2013-02,1,Category C,230,230,316,54989,98.474
2013,2013-02,1,Category D,506,502,637,1782,98.474
2013,2013-02,1,Category E,238,221,295,94890,98.474
2013,2013-02,2,Category A,333,329,427,78301,98.474
2013,2013-02,2,Category B,303,299,409,92667,98.474
2013,2013-02,2,Category C,225,225,285,53489,98.474
2013,2013-02,2,Category D,506,469,589,1512,98.474
2013,2013-02,2,Category E,241,200,370,91910,98.474
2013,2013-03,1,Category A,336,329,1180,74689,98.474
2013,2013-03,1,Category B,326,326,1028,58090,98.474
2013,2013-03,1,Category C,225,223,374,53900,98.474
2013,2013-03,1,Category D,510,510,669,1895,98.474
2013,2013-03,1,Category E,255,248,1036,65001,98.474
2013,2013-03,2,Category A,337,337,923,64209,98.474
2013,2013-03,2,Category B,307,300,940,73900,98.474
2013,2013-03,2,Category C,225,225,312,54111,98.474
2013,2013-03,2,Category D,543,543,634,1909,98.474
2013,2013-03,2,Category E,279,277,635,73301,98.474
2013,2013-04,1,Category A,341,339,966,61029,98.474
2013,2013-04,1,Category B,302,287,835,67010,98.474
2013,2013-04,1,Category C,227,227,334,56011,98.474
2013,2013-04,1,Category D,506,412,680,1812,98.474
2013,2013-04,1,Category E,245,244,450,66989,98.474
2013,2013-04,2,Category A,333,333,993,62497,98.474
2013,2013-04,2,Category B,310,281,683,62000,98.474
2013,2013-04,2,Category C,225,218,354,58502,98.474
2013,2013-04,2,Category D,506,505,545,1791,98.474
2013,2013-04,2,Category E,240,227,421,62000,98.474
2013,2013-05,1,Category A,336,329,912,62999,98.474
2013,2013-05,1,Category B,317,317,601,61700,98.474
2013,2013-05,1,Category C,225,223,312,57051,98.474
2013,2013-05,1,Category D,600,595,719,1700,98.474
2013,2013-05,1,Category E,239,238,447,62301,98.474
2013,2013-05,2,Category A,333,324,888,64839,98.474
2013,2013-05,2,Category B,332,329,749,67304,98.474
2013,2013-05,2,Category C,233,232,288,56889,98.474
2013,2013-05,2,Category D,507,459,642,1663,98.474
2013,2013-05,2,Category E,251,239,466,66701,98.474
2013,2013-06,1,Category A,341,336,855,67301,98.474
2013,2013-06,1,Category B,302,274,732,75000,98.474
2013,2013-06,1,Category C,227,226,292,57989,98.474
2013,2013-06,1,Category D,511,479,616,1701,98.474
2013,2013-06,1,Category E,239,189,534,76000,98.474
2013,2013-06,2,Category A,342,341,788,69903,98.474
2013,2013-06,2,Category B,305,304,734,81751,98.474
2013,2013-06,2,Category C,227,221,289,59001,98.474
2013,2013-06,2,Category D,554,534,647,1712,98.474
2013,2013-06,2,Category E,251,250,466,83001,98.474
2013,2013-07,1,Category A,338,328,716,73100,98.474
2013,2013-07,1,Category B,331,325,652,77110,98.474
2013,2013-07,1,Category C,226,226,301,61011,98.474
2013,2013-07,1,Category D,538,536,679,1610,98.474
2013,2013-07,1,Category E,288,284,485,77000,98.474
2013,2013-07,2,Category A,334,332,621,73989,98.474
2013,2013-07,2,Category B,303,301,574,76389,98.474
2013,2013-07,2,Category C,232,226,335,65036,98.474
2013,2013-07,2,Category D,526,516,652,1712,98.474
2013,2013-07,2,Category E,240,237,425,76802,98.474
2013,2013-08,1,Category A,373,371,754,75556,98.474
2013,2013-08,1,Category B,380,373,682,77600,98.474
2013,2013-08,1,Category C,258,257,364,68251,98.474
2013,2013-08,1,Category D,482,481,568,1792,98.474
2013,2013-08,1,Category E,264,261,407,77989,98.474
2013,2013-08,2,Category A,366,360,596,76223,98.474
2013,2013-08,2,Category B,375,371,627,76607,98.474
2013,2013-08,2,Category C,263,257,385,71001,98.474
2013,2013-08,2,Category D,491,449,615,1722,98.474
2013,2013-08,2,Category E,264,264,385,79223,98.474
2013,2013-09,1,Category A,366,365,609,77304,98.474
2013,2013-09,1,Category B,381,378,623,77100,98.474
2013,2013-09,1,Category C,258,254,340,73999,98.474
2013,2013-09,1,Category D,481,481,569,1660,98.474
2013,2013-09,1,Category E,263,181,431,80000,98.474
2013,2013-09,2,Category A,370,361,654,83751,98.474
2013,2013-09,2,Category B,377,368,703,86239,98.474
2013,2013-09,2,Category C,263,257,321,76001,98.474
2013,2013-09,2,Category D,523,521,579,1703,98.474
2013,2013-09,2,Category E,261,253,459,87001,98.474
2013,2013-10,1,Category A,365,361,615,85000,98.474
2013,2013-10,1,Category B,376,373,649,93500,98.474
2013,2013-10,1,Category C,261,261,315,76310,98.474
2013,2013-10,1,Category D,481,475,567,1961,98.474
2013,2013-10,1,Category E,342,330,483,93889,98.474
2013,2013-10,2,Category A,373,373,596,76889,98.474
2013,2013-10,2,Category B,382,376,515,87910,98.474
2013,2013-10,2,Category C,263,262,358,68002,98.474
2013,2013-10,2,Category D,482,481,586,1804,98.474
2013,2013-10,2,Category E,269,264,337,92289,98.474
2013,2013-11,1,Category A,368,368,590,72609,98.474
2013,2013-11,1,Category B,376,376,482,84578,98.474
2013,2013-11,1,Category C,257,256,427,55503,98.474
2013,2013-11,1,Category D,487,487,569,1710,98.474
2013,2013-11,1,Category E,273,270,379,89001,98.474
2013,2013-11,2,Category A,364,361,650,74991,98.474
2013,2013-11,2,Category B,379,375,536,79300,98.474
2013,2013-11,2,Category C,258,252,397,55002,98.474
2013,2013-11,2,Category D,481,437,543,1712,98.474
2013,2013-11,2,Category E,266,259,410,83000,98.474
2013,2013-12,1,Category A,364,364,591,73160,98.474
2013,2013-12,1,Category B,373,360,549,73010,98.474
2013,2013-12,1,Category C,258,257,359,51112,98.474
2013,2013-12,1,Category D,481,473,647,1782,98.474
2013,2013-12,1,Category E,264,264,365,76901,98.474
2013,2013-12,2,Category A,367,363,574,74002,98.474
2013,2013-12,2,Category B,377,357,500,75700,98.474
2013,2013-12,2,Category C,263,256,338,48001,98.474
2013,2013-12,2,Category D,524,501,680,1812,98.474
2013,2013-12,2,Category E,268,268,375,77501,98.474
2014,2014-01,1,Category A,364,361,623,72369,99.483
2014,2014-01,1,Category B,386,377,581,78700,99.483
2014,2014-01,1,Category C,258,252,337,48889,99.483
2014,2014-01,1,Category D,489,487,542,1989,99.483
2014,2014-01,1,Category E,261,244,392,79000,99.483
2014,2014-01,2,Category A,368,364,724,72290,99.483
2014,2014-01,2,Category B,393,388,512,79000,99.483
2014,2014-01,2,Category C,264,249,356,50001,99.483
2014,2014-01,2,Category D,503,503,796,2704,99.483
2014,2014-01,2,Category E,261,259,373,78810,99.483
2014,2014-02,1,Category A,362,356,719,71564,99.483
2014,2014-02,1,Category B,360,360,523,75300,99.483
2014,2014-02,1,Category C,267,264,364,51002,99.483
2014,2014-02,1,Category D,361,353,550,3051,99.483
2014,2014-02,1,Category E,208,205,351,77003,99.483
2014,2014-02,2,Category A,362,358,700,77201,99.483
2014,2014-02,2,Category B,355,353,519,78604,99.483
2014,2014-02,2,Category C,277,273,392,52890,99.483
2014,2014-02,2,Category D,360,359,478,3501,99.483
2014,2014-02,2,Category E,193,191,321,79000,99.483
2014,2014-03,1,Category A,365,356,615,76999,99.483
2014,2014-03,1,Category B,350,337,499,80710,99.483
2014,2014-03,1,Category C,265,262,439,56302,99.483
2014,2014-03,1,Category D,368,340,483,4001,99.483
2014,2014-03,1,Category E,193,185,292,82000,99.483
2014,2014-03,2,Category A,362,360,577,78602,99.483
2014,2014-03,2,Category B,353,352,524,82900,99.483
2014,2014-03,2,Category C,266,256,356,53891,99.483
2014,2014-03,2,Category D,360,355,449,4289,99.483
2014,2014-03,2,Category E,193,192,293,84001,99.483
2014,2014-04,1,Category A,367,360,537,77400,99.483
2014,2014-04,1,Category B,363,363,523,84504,99.483
2014,2014-04,1,Category C,265,261,303,49503,99.483
2014,2014-04,1,Category D,388,388,520,4489,99.483
